,id,article_id,attribute,code,confidence,session_id,datetime
672,966,1,mw_appearance_training,2,7,43847,2023-08-08 12:22:01
673,967,1,mw_independence_forced_training,1,4,43847,2023-08-08 12:22:01
674,968,1,mw_comfort_breathe_training,0,6,43847,2023-08-08 12:22:01
675,969,1,mw_attention_trust_training,2,7,43847,2023-08-08 12:22:02
676,970,1,mw_inconvenience_remember_training,1,4,43847,2023-08-08 12:22:02
677,971,1,mw_independence_authority_training,2,7,43847,2023-08-08 12:22:02
678,972,1,mw_efficacy_health_training,1,7,43847,2023-08-08 12:22:02
679,973,1,mw_efficacy_eff_training,1,7,43847,2023-08-08 12:22:02
680,974,1,mw_comfort_hot_training,2,7,43847,2023-08-08 12:22:02
681,975,1,mw_attention_uncomfortable_training,2,7,43847,2023-08-08 12:22:02
682,976,1,mw_compensation_training,2,6,43847,2023-08-08 12:22:02
683,977,1,mw_inconvenience_hassle_training,1,5,43847,2023-08-08 12:22:02
684,978,1,mw_access_cost_training,2,7,43847,2023-08-08 12:22:02
685,979,1,mw_access_diff_training,2,7,43847,2023-08-08 12:22:02
686,980,1,mw_attention_trust_training,2,7,16593,2023-08-08 12:25:46
687,981,1,mw_independence_authority_training,2,7,16593,2023-08-08 12:25:46
688,982,1,mw_comfort_breathe_training,0,7,16593,2023-08-08 12:25:46
689,983,1,mw_independence_forced_training,1,5,16593,2023-08-08 12:25:46
690,984,1,mw_attention_uncomfortable_training,2,7,16593,2023-08-08 12:25:46
691,985,1,mw_compensation_training,2,7,16593,2023-08-08 12:25:46
692,986,1,mw_access_cost_training,2,7,16593,2023-08-08 12:25:46
693,987,1,mw_access_diff_training,2,7,16593,2023-08-08 12:25:46
694,988,1,mw_inconvenience_hassle_training,1,6,16593,2023-08-08 12:25:46
695,989,1,mw_efficacy_health_training,1,7,16593,2023-08-08 12:25:46
696,990,1,mw_inconvenience_remember_training,1,5,16593,2023-08-08 12:25:46
697,991,1,mw_appearance_training,2,7,16593,2023-08-08 12:25:46
698,992,1,mw_efficacy_eff_training,1,7,16593,2023-08-08 12:25:46
699,993,1,mw_comfort_hot_training,2,4,16593,2023-08-08 12:25:46
700,994,2,mw_comfort_breathe_training,2,7,16593,2023-08-08 12:27:22
701,995,2,mw_efficacy_eff_training,1,4,16593,2023-08-08 12:27:22
702,996,2,mw_efficacy_health_training,1,2,16593,2023-08-08 12:27:22
703,997,2,mw_access_cost_training,2,7,16593,2023-08-08 12:27:22
704,998,2,mw_attention_trust_training,2,7,16593,2023-08-08 12:27:22
705,999,2,mw_inconvenience_remember_training,2,7,16593,2023-08-08 12:27:22
706,1000,2,mw_independence_authority_training,2,7,16593,2023-08-08 12:27:22
707,1001,2,mw_comfort_hot_training,2,7,16593,2023-08-08 12:27:22
708,1002,2,mw_appearance_training,2,7,16593,2023-08-08 12:27:22
709,1003,2,mw_access_diff_training,2,7,16593,2023-08-08 12:27:22
710,1004,2,mw_attention_uncomfortable_training,2,7,16593,2023-08-08 12:27:22
711,1005,2,mw_independence_forced_training,2,7,16593,2023-08-08 12:27:22
712,1006,2,mw_compensation_training,0,5,16593,2023-08-08 12:27:22
713,1007,2,mw_inconvenience_hassle_training,2,7,16593,2023-08-08 12:27:22
714,1008,3,mw_access_cost_training,2,7,16593,2023-08-08 12:28:38
715,1009,3,mw_comfort_breathe_training,2,7,16593,2023-08-08 12:28:38
716,1010,3,mw_inconvenience_remember_training,2,7,16593,2023-08-08 12:28:38
717,1011,3,mw_efficacy_eff_training,1,1,16593,2023-08-08 12:28:39
718,1012,3,mw_attention_uncomfortable_training,2,7,16593,2023-08-08 12:28:39
719,1013,3,mw_efficacy_health_training,1,1,16593,2023-08-08 12:28:39
720,1014,3,mw_independence_forced_training,2,7,16593,2023-08-08 12:28:39
721,1015,3,mw_compensation_training,1,5,16593,2023-08-08 12:28:39
722,1016,3,mw_attention_trust_training,2,7,16593,2023-08-08 12:28:39
723,1017,3,mw_access_diff_training,2,7,16593,2023-08-08 12:28:39
724,1018,3,mw_independence_authority_training,2,7,16593,2023-08-08 12:28:39
725,1019,3,mw_inconvenience_hassle_training,2,7,16593,2023-08-08 12:28:39
726,1020,3,mw_appearance_training,2,7,16593,2023-08-08 12:28:39
727,1021,3,mw_comfort_hot_training,2,7,16593,2023-08-08 12:28:39
728,1022,4,mw_efficacy_health_training,2,7,16593,2023-08-08 12:29:50
729,1023,4,mw_comfort_breathe_training,2,7,16593,2023-08-08 12:29:50
730,1024,4,mw_independence_authority_training,2,4,16593,2023-08-08 12:29:50
731,1025,4,mw_comfort_hot_training,2,7,16593,2023-08-08 12:29:50
732,1026,4,mw_independence_forced_training,0,7,16593,2023-08-08 12:29:50
733,1027,4,mw_appearance_training,0,2,16593,2023-08-08 12:29:51
734,1028,4,mw_inconvenience_hassle_training,0,4,16593,2023-08-08 12:29:51
735,1029,4,mw_efficacy_eff_training,2,7,16593,2023-08-08 12:29:51
736,1030,4,mw_attention_trust_training,0,7,16593,2023-08-08 12:29:51
737,1031,4,mw_compensation_training,2,7,16593,2023-08-08 12:29:51
738,1032,4,mw_access_cost_training,2,7,16593,2023-08-08 12:29:51
739,1033,4,mw_attention_uncomfortable_training,0,7,16593,2023-08-08 12:29:51
740,1034,4,mw_inconvenience_remember_training,0,4,16593,2023-08-08 12:29:51
741,1035,4,mw_access_diff_training,0,7,16593,2023-08-08 12:29:51
742,1036,5,mw_efficacy_eff_training,1,6,16593,2023-08-08 12:31:04
743,1037,5,mw_compensation_training,2,5,16593,2023-08-08 12:31:04
744,1038,5,mw_comfort_breathe_training,2,7,16593,2023-08-08 12:31:04
745,1039,5,mw_independence_authority_training,2,7,16593,2023-08-08 12:31:04
746,1040,5,mw_appearance_training,2,7,16593,2023-08-08 12:31:04
747,1041,5,mw_efficacy_health_training,1,7,16593,2023-08-08 12:31:04
748,1042,5,mw_inconvenience_hassle_training,2,7,16593,2023-08-08 12:31:04
749,1043,5,mw_inconvenience_remember_training,2,7,16593,2023-08-08 12:31:04
750,1044,5,mw_attention_uncomfortable_training,2,7,16593,2023-08-08 12:31:04
751,1045,5,mw_independence_forced_training,2,7,16593,2023-08-08 12:31:04
752,1046,5,mw_access_cost_training,2,7,16593,2023-08-08 12:31:04
753,1047,5,mw_comfort_hot_training,2,7,16593,2023-08-08 12:31:04
754,1048,5,mw_access_diff_training,2,7,16593,2023-08-08 12:31:04
755,1049,5,mw_attention_trust_training,2,7,16593,2023-08-08 12:31:04
756,1050,1,mw_efficacy_health_training,1,7,37474,2023-08-08 13:43:36
757,1051,1,mw_comfort_breathe_training,0,7,37474,2023-08-08 13:43:36
758,1052,1,mw_access_diff_training,2,4,37474,2023-08-08 13:43:36
759,1053,1,mw_inconvenience_remember_training,2,7,37474,2023-08-08 13:43:36
760,1054,1,mw_access_cost_training,2,7,37474,2023-08-08 13:43:36
761,1055,1,mw_efficacy_eff_training,1,7,37474,2023-08-08 13:43:36
762,1056,1,mw_comfort_hot_training,2,7,37474,2023-08-08 13:43:36
763,1057,1,mw_appearance_training,2,7,37474,2023-08-08 13:43:36
764,1058,1,mw_compensation_training,2,7,37474,2023-08-08 13:43:36
765,1059,1,mw_inconvenience_hassle_training,1,4,37474,2023-08-08 13:43:36
766,1060,1,mw_independence_authority_training,2,7,37474,2023-08-08 13:43:36
767,1061,1,mw_attention_trust_training,2,7,37474,2023-08-08 13:43:36
768,1062,1,mw_attention_uncomfortable_training,2,7,37474,2023-08-08 13:43:36
769,1063,1,mw_independence_forced_training,2,7,37474,2023-08-08 13:43:36
770,1064,2,mw_efficacy_health_training,2,7,37474,2023-08-08 13:48:07
771,1065,2,mw_access_diff_training,2,7,37474,2023-08-08 13:48:07
772,1066,2,mw_comfort_breathe_training,2,7,37474,2023-08-08 13:48:07
773,1067,2,mw_comfort_hot_training,2,7,37474,2023-08-08 13:48:07
774,1068,2,mw_efficacy_eff_training,1,5,37474,2023-08-08 13:48:07
775,1069,2,mw_access_cost_training,2,7,37474,2023-08-08 13:48:07
776,1070,2,mw_compensation_training,2,5,37474,2023-08-08 13:48:07
777,1071,2,mw_inconvenience_remember_training,2,7,37474,2023-08-08 13:48:07
778,1072,2,mw_attention_uncomfortable_training,2,7,37474,2023-08-08 13:48:07
779,1073,2,mw_independence_forced_training,2,7,37474,2023-08-08 13:48:07
780,1074,2,mw_inconvenience_hassle_training,2,7,37474,2023-08-08 13:48:07
781,1075,2,mw_attention_trust_training,2,7,37474,2023-08-08 13:48:07
782,1076,2,mw_appearance_training,2,7,37474,2023-08-08 13:48:07
783,1077,2,mw_independence_authority_training,2,7,37474,2023-08-08 13:48:07
784,1078,3,mw_comfort_hot_training,2,7,37474,2023-08-08 14:04:03
785,1079,3,mw_efficacy_eff_training,1,6,37474,2023-08-08 14:04:03
786,1080,3,mw_access_cost_training,2,7,37474,2023-08-08 14:04:03
787,1081,3,mw_access_diff_training,2,7,37474,2023-08-08 14:04:03
788,1082,3,mw_independence_forced_training,0,4,37474,2023-08-08 14:04:03
789,1083,3,mw_comfort_breathe_training,2,7,37474,2023-08-08 14:04:03
790,1084,3,mw_attention_trust_training,2,7,37474,2023-08-08 14:04:03
791,1085,3,mw_inconvenience_hassle_training,2,7,37474,2023-08-08 14:04:03
792,1086,3,mw_independence_authority_training,0,4,37474,2023-08-08 14:04:03
793,1087,3,mw_appearance_training,2,7,37474,2023-08-08 14:04:03
794,1088,3,mw_compensation_training,2,7,37474,2023-08-08 14:04:03
795,1089,3,mw_efficacy_health_training,1,7,37474,2023-08-08 14:04:03
796,1090,3,mw_attention_uncomfortable_training,2,7,37474,2023-08-08 14:04:03
797,1091,3,mw_inconvenience_remember_training,0,6,37474,2023-08-08 14:04:03
798,1092,4,mw_comfort_breathe_training,2,7,37474,2023-08-08 14:09:19
799,1093,4,mw_compensation_training,2,7,37474,2023-08-08 14:09:19
800,1094,4,mw_efficacy_eff_training,0,4,37474,2023-08-08 14:09:19
801,1095,4,mw_attention_trust_training,0,7,37474,2023-08-08 14:09:19
802,1096,4,mw_independence_forced_training,0,6,37474,2023-08-08 14:09:19
803,1097,4,mw_appearance_training,0,7,37474,2023-08-08 14:09:19
804,1098,4,mw_inconvenience_remember_training,2,7,37474,2023-08-08 14:09:19
805,1099,4,mw_access_diff_training,0,7,37474,2023-08-08 14:09:19
806,1100,4,mw_efficacy_health_training,2,4,37474,2023-08-08 14:09:19
807,1101,4,mw_attention_uncomfortable_training,0,7,37474,2023-08-08 14:09:19
808,1102,4,mw_comfort_hot_training,2,7,37474,2023-08-08 14:09:19
809,1103,4,mw_access_cost_training,2,4,37474,2023-08-08 14:09:19
810,1104,4,mw_independence_authority_training,0,5,37474,2023-08-08 14:09:19
811,1105,4,mw_inconvenience_hassle_training,0,7,37474,2023-08-08 14:09:19
812,1106,5,mw_compensation_training,2,7,37474,2023-08-08 14:11:31
813,1107,5,mw_comfort_breathe_training,2,7,37474,2023-08-08 14:11:31
814,1108,5,mw_access_cost_training,2,7,37474,2023-08-08 14:11:31
815,1109,5,mw_comfort_hot_training,2,7,37474,2023-08-08 14:11:31
816,1110,5,mw_independence_authority_training,2,7,37474,2023-08-08 14:11:31
817,1111,5,mw_independence_forced_training,2,7,37474,2023-08-08 14:11:31
818,1112,5,mw_appearance_training,2,7,37474,2023-08-08 14:11:31
819,1113,5,mw_efficacy_eff_training,1,5,37474,2023-08-08 14:11:31
820,1114,5,mw_efficacy_health_training,1,6,37474,2023-08-08 14:11:31
821,1115,5,mw_attention_trust_training,2,7,37474,2023-08-08 14:11:31
822,1116,5,mw_inconvenience_remember_training,2,7,37474,2023-08-08 14:11:31
823,1117,5,mw_attention_uncomfortable_training,2,7,37474,2023-08-08 14:11:31
824,1118,5,mw_access_diff_training,0,5,37474,2023-08-08 14:11:31
825,1119,5,mw_inconvenience_hassle_training,1,6,37474,2023-08-08 14:11:31
