,id,article_id,attribute,code,confidence,session_id,datetime
5264,5335,8332,mw_comfort_hot,2,7,25447,2023-09-27 11:13:19
5265,5336,8332,mw_attention_trust,1,4,25447,2023-09-27 11:13:19
5266,5337,8332,mw_comfort_breathe,2,7,25447,2023-09-27 11:13:19
5267,5338,8332,mw_access_diff,2,7,25447,2023-09-27 11:13:19
5268,5339,8332,mw_inconvenience_remember,2,7,25447,2023-09-27 11:13:19
5269,5340,8332,mw_efficacy_health,2,7,25447,2023-09-27 11:13:19
5270,5341,8332,mw_efficacy_eff,2,7,25447,2023-09-27 11:13:19
5271,5342,8332,mw_appearance,2,7,25447,2023-09-27 11:13:19
5272,5343,8332,mw_attention_uncomfortable,2,7,25447,2023-09-27 11:13:19
5273,5344,8332,mw_access_cost,2,7,25447,2023-09-27 11:13:19
5274,5345,8332,mw_inconvenience_hassle,2,7,25447,2023-09-27 11:13:19
5275,5346,8332,mw_independence_forced,2,4,25447,2023-09-27 11:13:19
5276,5347,8332,mw_independence_authority,2,4,25447,2023-09-27 11:13:19
5277,5348,8332,mw_compensation,2,7,25447,2023-09-27 11:13:19
5278,5349,8332,mw_access_diff,2,7,25447,2023-09-27 11:15:04
5279,5350,8332,mw_efficacy_health,2,7,25447,2023-09-27 11:15:04
5280,5351,8332,mw_compensation,2,7,25447,2023-09-27 11:15:04
5281,5352,8332,mw_efficacy_eff,2,7,25447,2023-09-27 11:15:04
5282,5353,8332,mw_comfort_breathe,2,4,25447,2023-09-27 11:15:04
5283,5354,8332,mw_comfort_hot,2,7,25447,2023-09-27 11:15:04
5284,5355,8332,mw_independence_authority,2,4,25447,2023-09-27 11:15:04
5285,5356,8332,mw_attention_uncomfortable,2,4,25447,2023-09-27 11:15:04
5286,5357,8332,mw_appearance,2,7,25447,2023-09-27 11:15:04
5287,5358,8332,mw_independence_forced,2,4,25447,2023-09-27 11:15:04
5288,5359,8332,mw_inconvenience_hassle,2,7,25447,2023-09-27 11:15:04
5289,5360,8332,mw_access_cost,2,7,25447,2023-09-27 11:15:04
5290,5361,8332,mw_attention_trust,2,4,25447,2023-09-27 11:15:04
5291,5362,8332,mw_inconvenience_remember,2,7,25447,2023-09-27 11:15:04
5292,5363,8429,mw_inconvenience_hassle,0,4,25447,2023-09-27 11:26:43
5293,5364,8429,mw_inconvenience_remember,2,7,25447,2023-09-27 11:26:43
5294,5365,8429,mw_independence_authority,0,7,25447,2023-09-27 11:26:43
5295,5366,8429,mw_attention_uncomfortable,2,7,25447,2023-09-27 11:26:43
5296,5367,8429,mw_comfort_breathe,2,7,25447,2023-09-27 11:26:43
5297,5368,8429,mw_access_cost,2,7,25447,2023-09-27 11:26:43
5298,5369,8429,mw_access_diff,2,7,25447,2023-09-27 11:26:43
5299,5370,8429,mw_compensation,1,4,25447,2023-09-27 11:26:43
5300,5371,8429,mw_appearance,2,7,25447,2023-09-27 11:26:43
5301,5372,8429,mw_attention_trust,2,7,25447,2023-09-27 11:26:43
5302,5373,8429,mw_comfort_hot,2,7,25447,2023-09-27 11:26:43
5303,5374,8429,mw_independence_forced,0,7,25447,2023-09-27 11:26:43
5304,5375,8429,mw_efficacy_eff,2,7,25447,2023-09-27 11:26:43
5305,5376,8429,mw_efficacy_health,2,7,25447,2023-09-27 11:26:43
5306,5377,8370,mw_efficacy_eff,2,7,25447,2023-09-27 11:29:59
5307,5378,8370,mw_efficacy_health,2,7,25447,2023-09-27 11:29:59
5308,5379,8370,mw_comfort_breathe,2,7,25447,2023-09-27 11:29:59
5309,5380,8370,mw_attention_trust,0,4,25447,2023-09-27 11:29:59
5310,5381,8370,mw_inconvenience_remember,2,7,25447,2023-09-27 11:29:59
5311,5382,8370,mw_appearance,2,7,25447,2023-09-27 11:29:59
5312,5383,8370,mw_attention_uncomfortable,0,4,25447,2023-09-27 11:29:59
5313,5384,8370,mw_inconvenience_hassle,2,7,25447,2023-09-27 11:29:59
5314,5385,8370,mw_comfort_hot,2,7,25447,2023-09-27 11:29:59
5315,5386,8370,mw_independence_forced,2,7,25447,2023-09-27 11:29:59
5316,5387,8370,mw_access_cost,2,7,25447,2023-09-27 11:29:59
5317,5388,8370,mw_compensation,2,7,25447,2023-09-27 11:29:59
5318,5389,8370,mw_independence_authority,2,7,25447,2023-09-27 11:29:59
5319,5390,8370,mw_access_diff,2,7,25447,2023-09-27 11:29:59
5320,5391,8358,mw_efficacy_eff,2,7,25447,2023-09-27 11:34:20
5321,5392,8358,mw_comfort_breathe,2,7,25447,2023-09-27 11:34:20
5322,5393,8358,mw_compensation,2,7,25447,2023-09-27 11:34:20
5323,5394,8358,mw_access_diff,2,7,25447,2023-09-27 11:34:20
5324,5395,8358,mw_access_cost,2,7,25447,2023-09-27 11:34:20
5325,5396,8358,mw_independence_forced,2,7,25447,2023-09-27 11:34:20
5326,5397,8358,mw_appearance,2,7,25447,2023-09-27 11:34:20
5327,5398,8358,mw_attention_trust,2,7,25447,2023-09-27 11:34:20
5328,5399,8358,mw_inconvenience_hassle,2,7,25447,2023-09-27 11:34:20
5329,5400,8358,mw_attention_uncomfortable,2,7,25447,2023-09-27 11:34:20
5330,5401,8358,mw_independence_authority,2,7,25447,2023-09-27 11:34:20
5331,5402,8358,mw_efficacy_health,2,7,25447,2023-09-27 11:34:20
5332,5403,8358,mw_comfort_hot,2,7,25447,2023-09-27 11:34:20
5333,5404,8358,mw_inconvenience_remember,2,7,25447,2023-09-27 11:34:20
5334,5405,8426,mw_independence_authority,0,4,25447,2023-09-27 11:44:33
5335,5406,8426,mw_comfort_breathe,2,7,25447,2023-09-27 11:44:33
5336,5407,8426,mw_access_cost,2,4,25447,2023-09-27 11:44:33
5337,5408,8426,mw_access_diff,2,4,25447,2023-09-27 11:44:33
5338,5409,8426,mw_efficacy_health,2,4,25447,2023-09-27 11:44:33
5339,5410,8426,mw_inconvenience_hassle,2,4,25447,2023-09-27 11:44:33
5340,5411,8426,mw_compensation,2,4,25447,2023-09-27 11:44:33
5341,5412,8426,mw_appearance,2,4,25447,2023-09-27 11:44:33
5342,5413,8426,mw_inconvenience_remember,2,4,25447,2023-09-27 11:44:33
5343,5414,8426,mw_attention_uncomfortable,2,4,25447,2023-09-27 11:44:33
5344,5415,8426,mw_independence_forced,0,4,25447,2023-09-27 11:44:33
5345,5416,8426,mw_efficacy_eff,2,4,25447,2023-09-27 11:44:33
5346,5417,8426,mw_comfort_hot,2,7,25447,2023-09-27 11:44:33
5347,5418,8426,mw_attention_trust,2,4,25447,2023-09-27 11:44:33
5348,5419,8441,mw_access_cost,2,7,28031,2023-09-27 11:46:32
5349,5420,8441,mw_comfort_breathe,2,7,28031,2023-09-27 11:46:32
5350,5421,8441,mw_attention_uncomfortable,2,7,28031,2023-09-27 11:46:32
5351,5422,8441,mw_appearance,2,7,28031,2023-09-27 11:46:32
5352,5423,8441,mw_independence_forced,2,7,28031,2023-09-27 11:46:32
5353,5424,8441,mw_attention_trust,2,7,28031,2023-09-27 11:46:32
5354,5425,8441,mw_inconvenience_hassle,0,5,28031,2023-09-27 11:46:32
5355,5426,8441,mw_comfort_hot,2,7,28031,2023-09-27 11:46:32
5356,5427,8441,mw_inconvenience_remember,2,6,28031,2023-09-27 11:46:32
5357,5428,8441,mw_compensation,0,6,28031,2023-09-27 11:46:32
5358,5429,8441,mw_efficacy_eff,2,7,28031,2023-09-27 11:46:32
5359,5430,8441,mw_independence_authority,2,7,28031,2023-09-27 11:46:32
5360,5431,8441,mw_access_diff,2,7,28031,2023-09-27 11:46:32
5361,5432,8441,mw_efficacy_health,2,7,28031,2023-09-27 11:46:32
5362,5433,8414,mw_independence_authority,2,4,25447,2023-09-27 11:47:10
5363,5434,8414,mw_comfort_breathe,2,7,25447,2023-09-27 11:47:10
5364,5435,8414,mw_independence_forced,2,4,25447,2023-09-27 11:47:10
5365,5436,8414,mw_efficacy_eff,1,4,25447,2023-09-27 11:47:10
5366,5437,8414,mw_access_cost,2,4,25447,2023-09-27 11:47:10
5367,5438,8414,mw_inconvenience_hassle,2,4,25447,2023-09-27 11:47:10
5368,5439,8414,mw_comfort_hot,2,7,25447,2023-09-27 11:47:10
5369,5440,8414,mw_attention_uncomfortable,2,4,25447,2023-09-27 11:47:10
5370,5441,8414,mw_appearance,2,4,25447,2023-09-27 11:47:10
5371,5442,8414,mw_efficacy_health,1,4,25447,2023-09-27 11:47:10
5372,5443,8414,mw_access_diff,2,4,25447,2023-09-27 11:47:10
5373,5444,8414,mw_attention_trust,2,4,25447,2023-09-27 11:47:10
5374,5445,8414,mw_compensation,2,4,25447,2023-09-27 11:47:10
5375,5446,8414,mw_inconvenience_remember,2,4,25447,2023-09-27 11:47:10
5376,5447,8382,mw_comfort_hot,2,6,80651,2023-09-27 11:47:25
