,article_id,attribute,code,confidence,session_id,datetime,native_id,text
0,4869,mw_independence_authority,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
1,4869,mw_comfort_breathe,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
2,4869,mw_independence_forced,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
3,4869,mw_attention_trust,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
4,4869,mw_attention_uncomfortable,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
5,4869,mw_appearance,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
6,4869,mw_compensation,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
7,4869,mw_access_cost,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
8,4869,mw_inconvenience_remember,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
9,4869,mw_inconvenience_hassle,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
10,4869,mw_efficacy_health,1,5,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
11,4869,mw_efficacy_eff,1,5,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
12,4869,mw_access_diff,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
13,4869,mw_comfort_hot,2,7,68591,,1584462895,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
14,6093,mw_independence_forced,0,7,68591,,1615498552,"WALLACE: Then there are the issue of masks, which we touched on before and we are seeing growing confrontations. For instance, in stores where customers say you've got to wear a mask and some customers say you are violating my rights. Here's an example of that."
15,6093,mw_attention_uncomfortable,1,4,68591,,1615498552,"WALLACE: Then there are the issue of masks, which we touched on before and we are seeing growing confrontations. For instance, in stores where customers say you've got to wear a mask and some customers say you are violating my rights. Here's an example of that."
16,6093,mw_comfort_breathe,2,7,68591,,1615498552,"WALLACE: Then there are the issue of masks, which we touched on before and we are seeing growing confrontations. For instance, in stores where customers say you've got to wear a mask and some customers say you are violating my rights. Here's an example of that."
