,id_x,article_id,attribute,code,confidence,session_id,id_y,post
0,71,4869,mw_independence_authority,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
1,72,4869,mw_comfort_breathe,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
2,73,4869,mw_independence_forced,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
3,74,4869,mw_attention_trust,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
4,75,4869,mw_attention_uncomfortable,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
5,76,4869,mw_appearance,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
6,77,4869,mw_compensation,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
7,78,4869,mw_access_cost,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
8,79,4869,mw_inconvenience_remember,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
9,80,4869,mw_inconvenience_hassle,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
10,81,4869,mw_efficacy_health,1,5,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
11,82,4869,mw_efficacy_eff,1,5,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
12,83,4869,mw_access_diff,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
13,84,4869,mw_comfort_hot,2,7,68591,4869,"The python skin doesn't protect people from becoming infected with the virus, although he said the masks may eventually come with a filtration system similar to N95 masks -- which blocks small airborne particles."
14,85,2338,mw_independence_authority,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
15,86,2338,mw_attention_uncomfortable,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
16,87,2338,mw_attention_trust,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
17,88,2338,mw_independence_forced,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
18,89,2338,mw_comfort_breathe,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
19,90,2338,mw_appearance,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
20,91,2338,mw_inconvenience_hassle,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
21,92,2338,mw_inconvenience_remember,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
22,93,2338,mw_compensation,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
23,94,2338,mw_comfort_hot,2,7,68591,2338,"The best-performing designs were a mask constructed of two layers of high-quality, heavyweight “quilter’s cotton,” a two-layer mask made with thick batik fabric, and a double-layer mask with an inner layer of flannel and outer layer of cotton."
