,ba_m,complex_spread_ratio,repetition,measure,pen_name,run,rand_id,data,pearson,euclidean,mape
14017,10,0.5,9,opinion-timeseries,dem,1,2199,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14021,10,0.5,9,opinion-timeseries,dem,5,3209,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14023,10,0.5,9,opinion-timeseries,dem,7,3371,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14030,10,0.5,9,opinion-timeseries,dem,14,6110,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14032,10,0.5,9,opinion-timeseries,dem,16,6753,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14034,10,0.5,9,opinion-timeseries,dem,18,7031,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14035,10,0.5,9,opinion-timeseries,dem,19,7693,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14037,10,0.5,9,opinion-timeseries,dem,21,8333,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14043,10,0.5,9,opinion-timeseries,dem,27,9271,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
14045,10,0.5,9,opinion-timeseries,dem,29,9656,"[71. 71. 71. 70. 70. 70. 70. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84. 84.
 84. 84. 84. 84. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.
 85. 85. 85. 85. 85. 85. 85. 85. 85. 85.]",0.7932464121693522,62.7013484703479,0.07430965396170065
