,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,data,pearson,euclidean,mape
1725,10,0.25,0.5,2,opinion-timeseries,dem,"[77.       77.       77.       67.46667  67.46667  67.46667  67.46667
 92.933334 92.933334 92.933334 92.933334 92.933334 92.933334 92.933334
 92.933334 92.933334 92.933334 92.933334 92.933334 92.933334 91.933334
 91.933334 93.       92.       92.       92.       92.       92.
 92.       92.       92.       92.       92.       92.       92.
 93.       93.       93.       93.       93.       93.       93.
 93.       93.       93.       93.       93.       93.       93.
 93.       93.       93.       93.       93.       93.       93.
 93.       93.       93.       93.       93.       93.       93.
 92.      ]",0.7116948096238844,47.35941779396701,0.05685943581893873
2466,15,0.25,0.75,0,opinion-timeseries,dem,"[75.       75.       75.       69.666664 69.666664 69.666664 69.666664
 87.333336 87.333336 87.333336 87.333336 87.333336 87.333336 87.333336
 87.333336 87.333336 87.333336 87.333336 87.333336 87.333336 87.333336
 87.333336 88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.      ]",0.7473558864303154,49.259894801114925,0.05910109720925086
1770,10,0.25,0.75,7,opinion-timeseries,dem,"[68.       68.       68.       53.3      53.3      53.3      53.3
 86.96667  86.96667  86.96667  86.96667  86.96667  86.96667  86.96667
 86.96667  86.96667  86.96667  86.96667  86.96667  86.96667  85.566666
 85.566666 87.9      86.9      86.9      86.9      86.9      86.9
 86.9      86.9      86.9      86.9      86.9      86.9      86.9
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 88.       88.       88.       88.       88.       88.       88.
 87.      ]",0.7208305988064333,63.38563873131313,0.07149354291284893
1746,10,0.25,0.5,9,opinion-timeseries,dem,"[60.       60.       60.       39.6      39.6      39.6      39.6
 84.166664 84.166664 84.166664 84.166664 84.166664 84.166664 84.166664
 84.166664 84.166664 84.166664 84.166664 84.166664 84.166664 77.166664
 77.166664 89.9      87.9      87.9      87.9      87.9      87.9
 87.9      87.9      87.9      87.9      87.9      87.9      87.9
 90.       90.       90.       90.       90.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 88.      ]",0.7821996864426322,80.79019864102347,0.07564338996463078
2487,15,0.25,0.75,7,opinion-timeseries,dem,"[73.       73.       73.       65.9      65.9      65.9      65.9
 85.76667  85.76667  85.76667  85.76667  85.76667  85.76667  85.76667
 85.76667  85.76667  85.76667  85.76667  85.76667  85.76667  85.333336
 85.333336 85.4      85.13333  85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.      ]",0.6750708523096466,65.14608443176218,0.08003995101286551
1731,10,0.25,0.5,4,opinion-timeseries,dem,"[67.       67.       67.       49.724136 49.724136 49.724136 49.724136
 88.10345  88.10345  88.10345  88.10345  88.10345  88.10345  88.10345
 88.10345  88.10345  88.10345  88.10345  88.10345  88.10345  81.413795
 81.413795 89.413795 84.68965  81.86207  81.06896  81.       81.
 81.       81.       81.       81.       81.       81.       81.
 89.86207  89.86207  90.       90.       90.       90.       89.
 89.       89.       89.       90.       90.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 83.44827 ]",0.7214005806161753,70.31863798355754,0.08170338912244592
758,5,0.05,0.25,6,opinion-timeseries,rep,"[59.       72.       72.       66.       66.       57.966667 57.966667
 62.433334 66.23333  67.       58.6      58.6      58.6      58.6
 58.6      58.6      58.6      57.       57.       57.       57.
 65.933334 67.       63.366665 57.       57.       57.       66.
 66.       67.       67.       66.566666 66.46667  67.       63.
 67.       67.       67.       58.466667 57.       57.       62.
 62.       66.86667  68.       68.       68.       68.       68.
 68.       68.       68.       68.       68.       68.       68.
 68.       68.       68.       68.       68.       68.       58.433334
 57.      ]",0.22131688544996275,58.05676099198788,0.08248699363761113
2493,15,0.25,0.75,9,opinion-timeseries,dem,"[68.       68.       68.       49.733334 49.733334 49.733334 49.733334
 87.96667  87.96667  87.96667  87.96667  87.96667  87.96667  87.96667
 87.96667  87.96667  87.96667  87.96667  87.96667  87.96667  86.36667
 86.36667  87.       86.       86.       86.       86.       86.
 86.       86.       86.       86.       86.       86.       86.
 87.       87.       87.       87.       87.       87.       87.
 87.       87.       87.       87.       87.       87.       87.
 87.       87.       87.       87.       87.       87.       87.
 87.       87.       87.       87.       87.       87.       87.
 86.      ]",0.6598512458120402,72.90302834919036,0.08276760507832752
2417,15,0.25,0.25,3,opinion-timeseries,rep,"[51.       68.       68.       65.       65.       59.5      59.5
 63.933334 65.       65.       59.5      59.5      59.5      59.5
 59.5      59.5      59.5      59.       59.       59.       59.
 65.       65.       62.       59.       59.       59.       65.
 65.       65.       65.       65.       65.       65.       62.
 64.566666 65.       65.       59.566666 59.       59.       62.266666
 62.266666 65.       65.       65.       65.       65.       65.
 65.       65.       65.       65.       65.       65.       65.
 65.       65.       65.       65.       65.       65.       59.433334
 59.033333]",0.269755205219837,52.50911456016986,0.08292921381533896
2448,15,0.25,0.5,4,opinion-timeseries,dem,"[68.       68.       68.       54.633335 54.633335 54.633335 54.633335
 84.96667  84.96667  84.96667  84.96667  84.96667  84.96667  84.96667
 84.96667  84.96667  84.96667  84.96667  84.96667  84.96667  84.96667
 84.96667  85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.       85.       85.       85.       85.       85.       85.
 85.      ]",0.6909233225637132,73.56799991534457,0.08645001933271859
