,ba_m,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
197,5,0.01,6,opinion-timeseries,rep,"[55.       55.766666 56.266666 54.5      54.5      53.466667 53.
 52.533333 52.866665 53.066666 52.033333 52.033333 52.033333 51.633335
 51.633335 51.3      51.266666 50.3      50.266666 50.233334 49.6
 50.033333 50.733334 50.7      49.       47.466667 46.233334 46.5
 46.466667 47.066666 47.733334 47.533333 47.       47.6      47.566666
 47.566666 48.1      47.8      46.666668 46.       45.233334 45.433334
 44.733334 45.233334 45.533333 45.133335 44.033333 43.6      42.933334
 42.933334 43.533333 44.633335 44.3      43.7      43.333332 42.8
 42.4      42.4      41.933334 41.566666 41.566666 41.566666 40.7
 40.633335]",-0.9001636103495813,150.6722952729278,0.2607543773454377
29,3,0.01,9,opinion-timeseries,rep,"[55.       56.066666 56.433334 54.366665 54.333332 53.4      52.633335
 52.1      52.766666 53.266666 52.033333 52.       52.       51.5
 51.466667 50.9      50.9      49.8      49.766666 49.766666 49.3
 49.833332 50.5      50.5      49.2      47.933334 46.4      46.7
 46.7      47.266666 47.733334 47.166668 46.733334 47.066666 47.066666
 47.066666 47.7      47.433334 46.633335 45.466667 44.4      45.
 44.466667 44.733334 44.733334 44.066666 43.8      42.833332 42.
 42.       42.633335 43.833332 43.4      42.933334 42.6      42.266666
 41.866665 41.866665 41.5      41.2      41.266666 41.266666 40.2
 40.2     ]",-0.9008314512741339,153.6808200177133,0.2655326611880626
14,3,0.01,4,opinion-timeseries,rep,"[54.       54.7      55.2      53.833332 53.8      53.       52.333332
 51.966667 52.466667 52.9      52.       51.966667 51.933334 51.2
 51.166668 50.4      50.4      49.066666 49.066666 49.033333 48.633335
 49.166668 49.5      49.466667 47.433334 46.4      45.133335 45.7
 45.7      46.233334 46.733334 46.333332 45.666668 46.233334 46.233334
 46.233334 46.633335 46.266666 45.733334 44.8      44.033333 44.8
 44.4      45.       45.1      44.433334 43.3      42.766666 41.966667
 41.933334 42.433334 43.433334 42.9      42.566666 42.1      41.833332
 41.466667 41.466667 41.133335 41.       41.       41.066666 40.233334
 40.233334]",-0.9051789488942783,156.7564282980277,0.2708818811003881
20,3,0.01,6,opinion-timeseries,rep,"[54.       55.033333 55.433334 53.533333 53.5      52.4      51.8
 51.433334 52.       52.533333 51.133335 51.133335 51.133335 50.766666
 50.766666 50.2      50.166668 49.2      49.166668 49.166668 48.766666
 49.3      49.833332 49.8      48.666668 46.866665 45.2      45.833332
 45.766666 46.333332 46.766666 46.366665 45.7      46.433334 46.433334
 46.433334 47.066666 46.4      45.666668 44.766666 43.8      44.366665
 43.8      44.366665 44.333332 43.933334 43.7      43.266666 42.5
 42.5      43.1      44.1      43.466667 43.1      42.7      42.266666
 41.6      41.6      41.133335 40.566666 40.633335 40.633335 39.966667
 39.966667]",-0.9044295177489149,156.37149237027677,0.27094228092479233
368,10,0.01,5,opinion-timeseries,rep,"[54.       54.9      55.4      53.566666 53.533333 52.566666 51.966667
 51.233334 51.8      52.266666 51.366665 51.3      51.3      50.6
 50.566666 50.       50.       49.2      49.2      49.2      48.766666
 49.133335 49.766666 49.666668 47.833332 46.466667 44.733334 45.466667
 45.366665 45.9      46.3      45.933334 45.633335 46.2      46.166668
 46.166668 46.666668 46.333332 45.566666 44.733334 43.7      44.266666
 43.933334 44.433334 44.5      43.966667 43.733334 43.4      42.333332
 42.2      42.666668 44.366665 43.833332 43.266666 43.033333 42.533333
 41.933334 41.933334 41.333332 40.933334 40.866665 40.833332 40.133335
 40.133335]",-0.9125833223872372,156.56086876069233,0.2718137170730188
188,5,0.01,3,opinion-timeseries,rep,"[53.       53.8      54.2      52.033333 52.033333 51.4      50.9
 50.466667 50.933334 51.466667 50.466667 50.4      50.4      49.8
 49.733334 49.366665 49.333332 48.3      48.3      48.3      47.9
 48.5      49.1      49.033333 47.566666 46.166668 45.033333 45.566666
 45.566666 46.166668 46.666668 46.5      45.966667 46.433334 46.333332
 46.333332 47.       46.566666 45.9      44.7      43.733334 44.633335
 44.133335 44.666668 44.5      44.066666 43.466667 43.166668 42.166668
 42.166668 42.533333 43.866665 43.5      42.933334 42.5      42.166668
 41.7      41.7      41.166668 40.733334 40.766666 40.8      39.9
 39.9     ]",-0.8929778495643745,157.32328350443527,0.2732834744665087
182,5,0.01,1,opinion-timeseries,rep,"[53.       53.933334 54.266666 52.433334 52.433334 51.366665 51.
 50.6      51.166668 51.366665 50.333332 50.333332 50.3      49.866665
 49.866665 49.4      49.366665 48.433334 48.433334 48.433334 47.833332
 48.2      48.833332 48.8      47.666668 46.366665 45.033333 45.4
 45.4      46.033333 46.5      46.       45.633335 46.333332 46.333332
 46.333332 46.666668 46.166668 45.633335 44.733334 43.866665 44.333332
 44.       44.366665 44.833332 44.2      43.5      43.033333 42.366665
 42.366665 42.966667 44.066666 43.766666 43.133335 42.6      42.133335
 41.6      41.6      41.233334 41.       41.       40.966667 40.033333
 40.      ]",-0.9027300915303806,157.30210662657856,0.2736722585135308
206,5,0.01,9,opinion-timeseries,rep,"[54.       55.2      55.5      53.5      53.5      52.3      51.933334
 51.333332 51.933334 52.366665 51.066666 51.033333 51.033333 50.466667
 50.4      49.9      49.9      49.266666 49.266666 49.233334 48.833332
 49.266666 49.8      49.733334 48.533333 47.       45.433334 45.8
 45.733334 45.966667 46.2      46.133335 45.633335 46.133335 46.133335
 46.133335 46.766666 46.266666 45.466667 44.666668 44.033333 44.466667
 43.9      44.666668 44.933334 43.966667 43.366665 42.633335 41.733334
 41.733334 42.366665 43.333332 42.866665 42.433334 41.933334 41.5
 40.9      40.9      40.466667 39.933334 39.933334 39.866665 38.866665
 38.866665]",-0.8991854908778472,158.91913751602803,0.274675616247931
521,15,0.01,1,opinion-timeseries,rep,"[54.       54.666668 54.9      53.2      53.166668 51.766666 51.066666
 50.633335 51.233334 51.666668 50.533333 50.5      50.466667 49.833332
 49.7      49.2      49.2      48.2      48.166668 48.033333 47.5
 48.       48.466667 48.333332 47.033333 45.666668 44.466667 45.033333
 44.966667 45.466667 46.033333 45.833332 45.333332 45.733334 45.666668
 45.733334 46.133335 45.866665 44.933334 44.1      43.5      44.166668
 43.7      44.1      44.2      43.7      43.433334 42.966667 42.266666
 42.233334 42.766666 43.966667 43.466667 43.       42.8      42.533333
 42.3      42.3      41.7      41.333332 41.433334 41.466667 40.733334
 40.666668]",-0.9326357692736791,158.30533221701285,0.2771333463694019
194,5,0.01,5,opinion-timeseries,rep,"[53.       53.966667 54.533333 52.866665 52.833332 52.166668 51.633335
 51.       51.666668 52.133335 50.866665 50.833332 50.8      50.366665
 50.366665 50.033333 50.       48.933334 48.866665 48.833332 48.133335
 48.666668 49.166668 49.1      47.9      46.366665 44.733334 45.366665
 45.366665 45.533333 46.266666 45.633335 45.466667 46.1      46.066666
 46.1      46.566666 46.2      45.233334 43.966667 43.066666 43.766666
 43.233334 43.833332 44.033333 43.333332 42.5      41.933334 41.033333
 41.033333 41.666668 42.8      42.466667 42.2      41.833332 41.366665
 40.933334 40.9      40.733334 40.333332 40.333332 40.3      39.6
 39.566666]",-0.8942790771442767,160.60249010287944,0.27733902890136497
