,id,article_id,attribute,code,confidence,session_id,datetime
4242,4313,4618,mw_comfort_breathe,2,7,67834,2023-08-22 12:24:15
4243,4314,4618,mw_access_diff,2,4,67834,2023-08-22 12:24:15
4244,4315,4618,mw_attention_uncomfortable,2,5,67834,2023-08-22 12:24:15
4245,4316,4618,mw_independence_authority,2,5,67834,2023-08-22 12:24:15
4246,4317,4618,mw_efficacy_eff,1,5,67834,2023-08-22 12:24:15
4247,4318,4618,mw_independence_forced,2,4,67834,2023-08-22 12:24:15
4248,4319,4618,mw_comfort_hot,2,7,67834,2023-08-22 12:24:15
4249,4320,4618,mw_access_cost,2,5,67834,2023-08-22 12:24:15
4250,4321,4618,mw_appearance,2,5,67834,2023-08-22 12:24:15
4251,4322,4618,mw_compensation,1,6,67834,2023-08-22 12:24:15
4252,4323,4618,mw_inconvenience_hassle,1,3,67834,2023-08-22 12:24:15
4253,4324,4618,mw_attention_trust,2,5,67834,2023-08-22 12:24:15
4254,4325,4618,mw_inconvenience_remember,2,4,67834,2023-08-22 12:24:15
4255,4326,4618,mw_efficacy_health,1,5,67834,2023-08-22 12:24:15
4256,4327,1243,mw_access_cost,2,7,25447,2023-08-22 12:27:34
4257,4328,1243,mw_comfort_hot,2,7,25447,2023-08-22 12:27:34
4258,4329,1243,mw_comfort_breathe,2,7,25447,2023-08-22 12:27:34
4259,4330,1243,mw_efficacy_eff,2,7,25447,2023-08-22 12:27:34
4260,4331,1243,mw_independence_forced,2,7,25447,2023-08-22 12:27:34
4261,4332,1243,mw_inconvenience_hassle,2,7,25447,2023-08-22 12:27:34
4262,4333,1243,mw_compensation,2,7,25447,2023-08-22 12:27:34
4263,4334,1243,mw_inconvenience_remember,2,7,25447,2023-08-22 12:27:34
4264,4335,1243,mw_appearance,2,7,25447,2023-08-22 12:27:34
4265,4336,1243,mw_efficacy_health,2,7,25447,2023-08-22 12:27:34
4266,4337,1243,mw_independence_authority,2,7,25447,2023-08-22 12:27:34
4267,4338,1243,mw_attention_uncomfortable,2,7,25447,2023-08-22 12:27:34
4268,4339,1243,mw_attention_trust,2,7,25447,2023-08-22 12:27:34
4269,4340,1243,mw_access_diff,2,7,25447,2023-08-22 12:27:34
4270,4341,3313,mw_attention_trust,2,7,67834,2023-08-22 12:29:18
4271,4342,3313,mw_comfort_breathe,2,5,67834,2023-08-22 12:29:18
4272,4343,3313,mw_inconvenience_hassle,2,5,67834,2023-08-22 12:29:18
4273,4344,3313,mw_efficacy_eff,1,5,67834,2023-08-22 12:29:18
4274,4345,3313,mw_efficacy_health,1,5,67834,2023-08-22 12:29:18
4275,4346,3313,mw_inconvenience_remember,2,5,67834,2023-08-22 12:29:18
4276,4347,3313,mw_access_cost,2,5,67834,2023-08-22 12:29:18
4277,4348,3313,mw_access_diff,2,5,67834,2023-08-22 12:29:18
4278,4349,3313,mw_appearance,2,7,67834,2023-08-22 12:29:18
4279,4350,3313,mw_compensation,1,4,67834,2023-08-22 12:29:18
4280,4351,3313,mw_independence_authority,2,7,67834,2023-08-22 12:29:18
4281,4352,3313,mw_independence_forced,2,7,67834,2023-08-22 12:29:18
4282,4353,3313,mw_comfort_hot,2,5,67834,2023-08-22 12:29:18
4283,4354,3313,mw_attention_uncomfortable,2,7,67834,2023-08-22 12:29:18
4284,4355,3746,mw_access_cost,2,7,25447,2023-08-22 12:30:23
4285,4356,3746,mw_inconvenience_hassle,2,7,25447,2023-08-22 12:30:23
4286,4357,3746,mw_independence_authority,2,7,25447,2023-08-22 12:30:23
4287,4358,3746,mw_comfort_breathe,2,7,25447,2023-08-22 12:30:23
4288,4359,3746,mw_efficacy_health,1,4,25447,2023-08-22 12:30:23
4289,4360,3746,mw_efficacy_eff,2,7,25447,2023-08-22 12:30:23
4290,4361,3746,mw_access_diff,2,7,25447,2023-08-22 12:30:23
4291,4362,3746,mw_comfort_hot,2,7,25447,2023-08-22 12:30:23
4292,4363,3746,mw_compensation,2,7,25447,2023-08-22 12:30:23
4293,4364,3746,mw_attention_uncomfortable,2,7,25447,2023-08-22 12:30:23
4294,4365,3746,mw_attention_trust,2,7,25447,2023-08-22 12:30:23
4295,4366,3746,mw_appearance,2,7,25447,2023-08-22 12:30:23
4296,4367,3746,mw_inconvenience_remember,2,7,25447,2023-08-22 12:30:23
4297,4368,3746,mw_independence_forced,2,7,25447,2023-08-22 12:30:23
4298,4369,5867,mw_access_diff,2,5,67834,2023-08-22 12:32:54
4299,4370,5867,mw_compensation,1,4,67834,2023-08-22 12:32:54
4300,4371,5867,mw_access_cost,2,5,67834,2023-08-22 12:32:54
4301,4372,5867,mw_comfort_breathe,2,6,67834,2023-08-22 12:32:54
4302,4373,5867,mw_efficacy_eff,2,6,67834,2023-08-22 12:32:54
4303,4374,5867,mw_attention_uncomfortable,2,7,67834,2023-08-22 12:32:54
4304,4375,5867,mw_inconvenience_remember,2,5,67834,2023-08-22 12:32:54
4305,4376,5867,mw_independence_forced,2,7,67834,2023-08-22 12:32:54
4306,4377,5867,mw_comfort_hot,2,6,67834,2023-08-22 12:32:54
4307,4378,5867,mw_efficacy_health,2,5,67834,2023-08-22 12:32:54
4308,4379,5867,mw_appearance,2,4,67834,2023-08-22 12:32:54
4309,4380,5867,mw_attention_trust,2,7,67834,2023-08-22 12:32:54
4310,4381,5867,mw_independence_authority,2,7,67834,2023-08-22 12:32:54
4311,4382,5867,mw_inconvenience_hassle,0,5,67834,2023-08-22 12:32:54
4312,4383,3921,mw_comfort_breathe,2,7,25447,2023-08-22 12:33:03
4313,4384,3921,mw_efficacy_health,1,7,25447,2023-08-22 12:33:03
4314,4385,3921,mw_compensation,2,7,25447,2023-08-22 12:33:03
4315,4386,3921,mw_inconvenience_hassle,2,7,25447,2023-08-22 12:33:03
4316,4387,3921,mw_inconvenience_remember,2,7,25447,2023-08-22 12:33:03
4317,4388,3921,mw_appearance,2,7,25447,2023-08-22 12:33:03
4318,4389,3921,mw_comfort_hot,2,7,25447,2023-08-22 12:33:03
4319,4390,3921,mw_access_cost,2,7,25447,2023-08-22 12:33:03
4320,4391,3921,mw_independence_forced,2,7,25447,2023-08-22 12:33:03
4321,4392,3921,mw_efficacy_eff,1,7,25447,2023-08-22 12:33:03
4322,4393,3921,mw_attention_trust,2,7,25447,2023-08-22 12:33:03
4323,4394,3921,mw_access_diff,2,7,25447,2023-08-22 12:33:03
4324,4395,3921,mw_attention_uncomfortable,2,7,25447,2023-08-22 12:33:03
4325,4396,3921,mw_independence_authority,2,7,25447,2023-08-22 12:33:03
4326,4397,4654,mw_efficacy_eff,2,7,25447,2023-08-22 12:35:10
4327,4398,4654,mw_inconvenience_remember,2,7,25447,2023-08-22 12:35:10
4328,4399,4654,mw_compensation,2,7,25447,2023-08-22 12:35:10
4329,4400,4654,mw_comfort_breathe,2,7,25447,2023-08-22 12:35:10
4330,4401,4654,mw_access_cost,2,7,25447,2023-08-22 12:35:10
4331,4402,4654,mw_attention_trust,2,7,25447,2023-08-22 12:35:10
4332,4403,4654,mw_comfort_hot,2,7,25447,2023-08-22 12:35:10
4333,4404,4654,mw_efficacy_health,2,7,25447,2023-08-22 12:35:10
4334,4405,4654,mw_appearance,2,7,25447,2023-08-22 12:35:10
4335,4406,4654,mw_access_diff,2,7,25447,2023-08-22 12:35:10
4336,4407,4654,mw_inconvenience_hassle,2,7,25447,2023-08-22 12:35:10
4337,4408,4654,mw_independence_forced,2,7,25447,2023-08-22 12:35:10
4338,4409,4654,mw_independence_authority,2,7,25447,2023-08-22 12:35:10
4339,4410,4654,mw_attention_uncomfortable,2,7,25447,2023-08-22 12:35:10
4340,4411,2937,mw_appearance,2,7,67834,2023-08-22 12:35:36
4341,4412,2937,mw_inconvenience_remember,2,6,67834,2023-08-22 12:35:36
4342,4413,2937,mw_inconvenience_hassle,2,3,67834,2023-08-22 12:35:36
4343,4414,2937,mw_comfort_breathe,2,7,67834,2023-08-22 12:35:36
4344,4415,2937,mw_independence_forced,2,7,67834,2023-08-22 12:35:36
4345,4416,2937,mw_access_diff,2,4,67834,2023-08-22 12:35:36
4346,4417,2937,mw_access_cost,2,7,67834,2023-08-22 12:35:36
4347,4418,2937,mw_attention_trust,2,7,67834,2023-08-22 12:35:36
4348,4419,2937,mw_independence_authority,2,6,67834,2023-08-22 12:35:36
4349,4420,2937,mw_efficacy_eff,1,5,67834,2023-08-22 12:35:36
4350,4421,2937,mw_compensation,2,2,67834,2023-08-22 12:35:36
4351,4422,2937,mw_attention_uncomfortable,2,7,67834,2023-08-22 12:35:36
4352,4423,2937,mw_comfort_hot,2,7,67834,2023-08-22 12:35:36
4353,4424,2937,mw_efficacy_health,1,5,67834,2023-08-22 12:35:36
4354,4425,1742,mw_efficacy_eff,2,7,67834,2023-08-22 12:36:45
4355,4426,1742,mw_independence_authority,2,7,67834,2023-08-22 12:36:45
4356,4427,1742,mw_access_diff,0,6,67834,2023-08-22 12:36:45
4357,4428,1742,mw_access_cost,2,4,67834,2023-08-22 12:36:45
